repitation,model,fold,feature_name,importance_value
0,ExtreTrees_feature_ranking_reduced,2,num_owner_open_changes_recent,0.04447168836448032
0,ExtreTrees_feature_ranking_reduced,2,owner_age,0.04953678103886961
0,ExtreTrees_feature_ranking_reduced,2,owner_changes_messages_avg,0.04566552840557012
0,ExtreTrees_feature_ranking_reduced,2,num_prior_owner_project_changes,0.04600399431017645
0,ExtreTrees_feature_ranking_reduced,2,num_project_open_changes_recent,0.05084017978551494
0,ExtreTrees_feature_ranking_reduced,2,revrs_abandoned_changes_recent,0.040052336440826876
0,ExtreTrees_feature_ranking_reduced,3,created_weekday_owner_tz,0.1360699246479209
0,ExtreTrees_feature_ranking_reduced,3,created_hours_utc,0.06063329255289969
0,ExtreTrees_feature_ranking_reduced,3,created_hours_owner_tz,0.05975850359326555
0,ExtreTrees_feature_ranking_reduced,3,betweenness_centrality,0.04452733559131078
0,ExtreTrees_feature_ranking_reduced,3,core_number,0.04456041733307962
0,ExtreTrees_feature_ranking_reduced,3,insertions,0.04878877588605323
0,ExtreTrees_feature_ranking_reduced,3,deletions,0.03865615267659726
0,ExtreTrees_feature_ranking_reduced,3,num_files_type,0.02103491257776719
0,ExtreTrees_feature_ranking_reduced,3,sum_complexity,0.03045640100963006
0,ExtreTrees_feature_ranking_reduced,3,num_binary_files,0.0017429496757745031
0,ExtreTrees_feature_ranking_reduced,3,subject_length,0.044069272366635596
0,ExtreTrees_feature_ranking_reduced,3,msg_word_count,0.04331565715420453
0,ExtreTrees_feature_ranking_reduced,3,is_non_fonctional,0.01605105241371215
0,ExtreTrees_feature_ranking_reduced,3,is_refactoring,0.021673904698144057
0,ExtreTrees_feature_ranking_reduced,3,is_corrective,0.022305844669249755
0,ExtreTrees_feature_ranking_reduced,3,is_preventive,0.01798025498565114
0,ExtreTrees_feature_ranking_reduced,3,has_feature_addition,0.022166732141800913
0,ExtreTrees_feature_ranking_reduced,3,is_merge,0.008252279751042695
0,ExtreTrees_feature_ranking_reduced,3,num_files_changes,0.04103349250346262
0,ExtreTrees_feature_ranking_reduced,3,num_owner_open_changes_recent,0.04529706868342446
0,ExtreTrees_feature_ranking_reduced,3,owner_age,0.048367219847101205
0,ExtreTrees_feature_ranking_reduced,3,owner_changes_messages_avg,0.046127587040281456
0,ExtreTrees_feature_ranking_reduced,3,num_prior_owner_project_changes,0.045241530284798194
0,ExtreTrees_feature_ranking_reduced,3,num_project_open_changes_recent,0.05063692456145336
