Train R square,Test R square,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE,Test SAE,fit_time,Organization,model,dim,fold,repitation
1.0,0.14079385553588764,3.297834405096307e-24,1932.0880802066167,2.066356098443e-13,30.287011917911187,1.9897360144997626e-15,0.5804439538119855,0.3509699481075953,0.3153402805328369,Eclipse,ExtraTrees,all,0,0
1.0,0.1321523497325643,2.297067479366711e-24,2027.216065470634,1.7080668430449114e-13,31.711157515176684,1.7893977153277345e-15,0.6019937012572352,0.33337176549885306,0.6056127548217773,Eclipse,ExtraTrees,all,1,0
1.0,0.10554294107509188,1.8902698339643834e-24,2024.1338494831145,1.5202458549169028e-13,31.585372255720255,1.6440225171439052e-15,0.6203021643259504,0.3354868111083834,0.902928352355957,Eclipse,ExtraTrees,all,2,0
1.0,0.1283457827223281,1.969137192753324e-24,2100.8757187647425,1.5452117339650155e-13,31.82941561672848,1.658934297666265e-15,0.5959267703056167,0.3367826266202807,1.2503314018249512,Eclipse,ExtraTrees,all,3,0
1.0,0.06761951319872228,1.9231152621088965e-24,2459.0683969464703,1.5255705601482772e-13,33.91543996766791,1.6643658970405984e-15,0.5729834729815936,0.31073332842047185,1.5501303672790527,Eclipse,ExtraTrees,all,4,0
1.0,0.13324962495395765,1.7378138790437005e-24,1785.502602070309,1.4576653581666147e-13,29.179133598464364,1.6032282117437813e-15,0.5887362153089482,0.37487622726828096,1.9135990142822266,Eclipse,ExtraTrees,all,5,0
1.0,0.11524135001147906,1.5269085675934947e-24,1945.2089107774796,1.3692191136738406e-13,30.303993692411595,1.5482353674678107e-15,0.5821959447175638,0.35232639454100123,2.1873297691345215,Eclipse,ExtraTrees,all,6,0
1.0,0.1442461593180735,1.435928937018532e-24,1759.7187997212366,1.3255480151001267e-13,28.56283818622045,1.52861401566297e-15,0.5681196503275292,0.3803210979720779,2.5879149436950684,Eclipse,ExtraTrees,all,7,0
1.0,0.13998348032690655,1.3595617447301813e-24,1779.4235325710288,1.295059498014744e-13,28.939741680926844,1.5216606291180088e-15,0.5719297004039989,0.3693086558415297,2.9042389392852783,Eclipse,ExtraTrees,all,8,0
0.9999999992617512,0.11758394883087087,3.001544869737971e-07,1931.8183404105575,5.669238041884939e-06,29.69714815427127,1.9375424055629524e-07,0.558841617547402,0.35858483763083715,3.352933406829834,Eclipse,ExtraTrees,all,9,0
0.9836488432827593,-0.15482828822310313,41.32639398058284,2328.0602281758747,0.8758725648131052,33.681121803827644,0.015462372431273791,0.7213881985050781,0.27715198972213073,0.09052038192749023,Eclipse,ExtraTrees,time,0,0
0.9822871724988175,-0.3210161353710721,48.82864124507222,2589.3323838451397,0.9965999524207617,36.50196986975734,0.01738053189369689,0.806378149354574,0.23279422723033016,0.11062121391296387,Eclipse,ExtraTrees,time,1,0
0.9823922387636527,-0.3606382699495656,46.48077048601439,2820.6461849475854,0.9922536742223999,37.93876602548036,0.017155211266484883,0.8466133440044719,0.20117341584569937,0.13497591018676758,Eclipse,ExtraTrees,time,2,0
